"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"WK02"	"WK02_01"	"SD01_01"	"SD02_01"	"SD03"	"EX01"	"EX01_07"	"EX02"	"EX02_07"	"EX03"	"EX03_07"	"EX04"	"EX04_07"	"EX05"	"EX05_07"	"EX06"	"EX06_07"	"EX07"	"EX07_07"	"EX08"	"EX08_07"	"EX09"	"EX09_07"	"EX10"	"EX10_07"	"EX11"	"EX11_07"	"EX12"	"EX12_07"	"EX13"	"EX13_07"	"EX14"	"EX14_07"	"EX15"	"EX15_07"	"EX16"	"EX16_07"	"EX17"	"EX17_07"	"EX18"	"EX18_07"	"EX19"	"EX20"	"EX20_07"	"EX21"	"EX21_07"	"EX22"	"EX22_07"	"EX23"	"EX23_07"	"EX24"	"EX25"	"EX26"	"EX26_07"	"EX27"	"EX27_07"	"EX28"	"EX28_07"	"EX29"	"EX29_07"	"EX30"	"EX30_07"	"EX31"	"EX31_07"	"EX32"	"EX32_07"	"EX33"	"EX33_07"	"EX34"	"EX34_07"	"EX35"	"EX35_07"	"EX36"	"EX36_07"	"EX37"	"EX37_07"	"EX38"	"EX38_07"	"EX39"	"EX39_07"	"EX40"	"EX40_07"	"EX41"	"EX41_07"	"EX42"	"EX42_07"	"EX43"	"EX43_07"	"EX44"	"EX44_07"	"EX45"	"EX45_07"	"EX46"	"EX46_07"	"EX47"	"EX47_07"	"EX48"	"EX48_07"	"EX49"	"EX49_07"	"EX50"	"EX50_07"	"EX51"	"EX51_07"	"EX52"	"EX53"	"EX53_07"	"EX54"	"EX54_07"	"EX55"	"EX55_07"	"EX56"	"EX56_07"	"EX57"	"EX57_07"	"EX58"	"EX58_07"	"EX59"	"EX59_07"	"EX60"	"EX60_07"	"EX61"	"EX61_07"	"EX62"	"EX63"	"EX63_07"	"EX64"	"EX65"	"EX65_07"	"EX66"	"EX67"	"EX67_07"	"EX68"	"EX68_07"	"EX69"	"EX69_07"	"EX70"	"KO01"	"KO01_07"	"KO02"	"KO02_07"	"KO03"	"KO03_07"	"KO04"	"KO04_07"	"KO05"	"KO05_07"	"KO06"	"KO06_07"	"KO07"	"KO07_07"	"KO08"	"KO09"	"KO10"	"KO10_07"	"KO11"	"KO12"	"KO13"	"KO13_07"	"KO14"	"KO14_07"	"KO15"	"ZF01_CP"	"ZF01x01"	"ZF01x02"	"ZF01x03"	"ZF01x04"	"ZF01x05"	"ZF01x06"	"ZF01x07"	"ZF01x08"	"ZF01x09"	"ZF01x10"	"ZF01x11"	"ZF01x12"	"ZF01x13"	"ZF01x14"	"ZF01x15"	"ZF01x16"	"ZF01x17"	"ZF01x18"	"ZF01x19"	"ZF01x20"	"ZF01x21"	"ZF01x22"	"ZF01x23"	"ZF01x24"	"ZF01x25"	"ZF01x26"	"ZF01x27"	"ZF01x28"	"ZF01x29"	"ZF01x30"	"ZF01x31"	"ZF01x32"	"ZF01x33"	"ZF01x34"	"ZF01x35"	"ZF01x36"	"ZF01x37"	"ZF01x38"	"ZF01x39"	"ZF01x40"	"ZF01x41"	"ZF01x42"	"ZF01x43"	"ZF01x44"	"ZF01x45"	"ZF01x46"	"ZF01x47"	"ZF01x48"	"ZF01x49"	"ZF01x50"	"ZF01x51"	"ZF01x52"	"ZF01x53"	"ZF01x54"	"ZF01x55"	"ZF01x56"	"ZF01x57"	"ZF01x58"	"ZF01x59"	"ZF01x60"	"ZF01x61"	"ZF01x62"	"ZF01x63"	"ZF01x64"	"ZF01x65"	"ZF01x66"	"ZF01x67"	"ZF01x68"	"ZF01x69"	"ZF01x70"	"ZF01x71"	"ZF01x72"	"ZF01x73"	"ZF01x74"	"ZF01x75"	"ZF01x76"	"ZF01x77"	"ZF01x78"	"ZF01x79"	"ZF01x80"	"ZF01x81"	"ZF01x82"	"ZF01x83"	"ZF01x84"	"ZF01x85"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
16			"base"	"interview"	2021-02-18 10:16:28	1	T	"51"	"Deutsch"	1	1		4		1		1		1		1		4		4		4		4		2		4		1		4		1		3		2		7	"Geschmack"	5	2		4		1		1		1	1	1		2		2		1		2		1		1		3		4		3		2		3		2		4		2		4		1		4		4		4		4		2		1		1		4		4		2	1		1		1		1		1		1		2		2		1		1	1		1	2		2	1		1		2		1	6		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	4	50	83	29	23	41	77	17	21	69	22	37	27	78	84	12	33	70	20	15	74	35	10	36	6	82	26	1	80	72	4	30	14	55	53	43	34	58	24	66	31	9	47	40	71	7	45	48	18	54	19	13	44	61	39	63	62	85	25	46	16	60	51	57	59	75	56	73	38	68	8	2	52	28	32	49	65	67	11	5	79	42	3	81	64	76	45	13	6	6	7	6	3	4	9	9	4	7	7	8	8	15	4	9	8	13	4	6	22	6	11	10	8	7	20	3	6	7	18	5	18	6	13	5	7	7	9	15	9	5	14	19	22	5	13	11	5	28	5	5	8	12	5	5	3	9	7	5	4	3	5	3	8	8	5	6	5	5	4	8	10	4	4	9	6	5	13	8	5	4	6	17	8	7	595		2021-02-18 10:29:18	T	F	88	88	0	0	0.65	1
24			"base"	"interview"	2021-02-18 17:42:20	1	T	"48"	"Deutsch "	1	4		4		4		4		6		6		4		4		6		4		1		4		4		4		2		4		2		4		3	2		4		1		2		1	1	1		3		2		1		2		4		1		6		4		3		4		3		2		4		2		1		7	"Unverständnis "	1		4		6		4		2		3		3		4		1		2	3		1		1		1		4		1		3		4		6		1	2		1	5		1	1		4		6		4	3		3		3		2		4		1		3		4	6	7	"Geschmack "	5	4	2		7	"Geschmack "	1	5	27	34	65	33	14	21	43	75	37	22	55	26	6	12	35	42	15	28	52	19	74	66	41	84	57	51	5	85	81	83	8	1	40	53	25	80	72	11	54	76	44	49	3	4	50	47	67	18	23	30	24	10	13	31	78	70	36	64	61	20	71	77	7	2	48	17	63	39	9	60	32	68	73	45	29	46	38	82	79	69	59	58	16	62	56	16	19	3	12	7	3	13	6	4	6	6	3	4	6	6	4	5	3	3	3	3	3	5	6	5	3	3	8	18	7	6	6	7	8	8	7	6	7	6	4	5	7	4	22	4	6	8	3	5	4	4	6	6	3	5	3	4	2	8	3	4	5	5	3	3	4	9	3	3	7	5	3	3	5	4	4	5	6	7	5	3	18	7	5	3	22	5	7	503		2021-02-18 17:51:13	T	F	88	88	0	0	0.9	5
27			"base"	"interview"	2021-02-18 20:31:23	1	T	"49"	"Deutsch"	1	4		1		4		4		7	"Ruhe"	4		7	"Erleichterung"	4		4		4		1		1		4		1		1		4		4		4		6	2		1		1		1		1	1	2		1		7	"Überraschung"	1		2		2		1		3		4		7	"Unentschieden"	4		6		2		4		2		1		1		1		4		4		4		2		2		1		1		1		5	1		4		1		1		1		1		2		1		1		1	1		1	1		1	1		1		4		1	6		4		7	"Geruch"	2		1		1		5		4	5	7	"Geschmack"	5	4	2		4		5	6	80	28	10	57	7	75	71	52	25	74	62	38	35	69	58	65	78	5	51	15	79	83	3	13	23	12	22	26	20	73	33	49	39	24	29	45	1	82	8	11	55	40	30	77	70	21	41	36	6	85	63	19	34	54	4	59	27	9	43	61	68	47	17	50	31	2	56	37	16	64	32	76	81	60	53	44	42	46	67	18	72	48	84	66	14	37	15	6	9	20	3	13	2	21	15	5	12	3	7	15	5	5	4	4	4	3	4	4	4	4	3	6	8	5	20	6	7	6	4	7	4	23	3	5	5	2	6	6	5	4	2	4	3	3	6	4	3	4	11	4	5	4	3	15	5	6	11	4	8	5	3	11	5	3	2	8	5	5	3	17	5	16	3	3	5	4	23	4	3	3	11	4	5	488		2021-02-18 20:41:44	T	F	88	88	0	0	0.9	6
28			"base"	"interview"	2021-02-18 22:28:50	1	T	"57"	"Deutsch"	2	7	"Erstaunen"	7	"Erkennen "	7	"Unsicherheit"	7	"Mitgefühl "	1		4		4		7	"Unsicherheit"	7	"Wundern"	4		1		4		7	"Schreck"	7	"Bedauern"	1		7	"Ekel"	7	"Missgeschick "	4		2	2		4		1		7	"Riss"	1	1	1		7	"Rasch"	2		7	"Zweifel"	3		7	"Durcheinander "	1		3		7	"Durcheinander "	7	"Durcheinander "	7	"Schock"	3		2		4		7	"Flüchtig"	3		4		7	"Viel Aktion"	7	"Durcheinander "	7	"Verrückter Mensch"	7	"Verrückt "	2		1		1		7	"Durcheinander "	7	"Plötzlich "	2	1		1		1		1		1		1		6		1		1		1	7	"Anstrengung"	1	2		2	1		4		2		1	6		7	"Farbe"	7	"Geruch"	2		1		1		5		4	5	7	"Geschmack"	5	4	2		7	"Geschmack"	3	7	13	6	24	62	17	48	39	3	10	76	55	38	28	2	5	34	21	60	85	20	9	61	84	82	31	8	47	11	1	50	19	54	36	44	75	45	64	16	23	46	78	66	22	27	43	67	35	65	71	37	32	7	18	53	42	81	68	63	58	49	69	29	26	72	70	25	57	40	51	56	4	73	59	80	14	30	79	33	41	74	77	15	52	83	12	32	19	28	24	200	23	28	30	8	29	39	9	5	11	56	32	15	25	48	4	7	8	8	8	41	34	5	4	59	9	25	36	129	9	12	23	27	71	6	6	8	26	31	9	70	13	31	18	7	19	4	20	52	7	7	3	6	9	4	5	43	5	4	10	29	5	18	13	3	7	65	7	6	14	18	6	6	21	6	3	17	15	5	6	3	23	6	13	569		2021-02-18 23:00:48	T	F	88	88	0	0	0.43	0
31			"base"	"interview"	2021-02-19 15:29:43	1	T	"40"	"Deutsch "	1	4		4		4		4		1		1		4		4		4		1		2		2		4		2		1		4		1		4		3	2		4		1		2		2	1	2		4		2		1		2		2		2		3		5		3		2		4		2		4		2		4		4		2		4		4		4		2		2		1		4		1		2	2		2		1		1		1		2		6		1		1		1	2		1	2		2	1		4		1		1	6		3		4		2		1		1		5		4	3	3		5	4	2		6		3	8	17	44	75	21	2	64	11	49	20	55	66	31	84	73	54	71	4	59	10	81	56	32	77	6	42	40	29	63	13	74	60	57	33	36	82	38	41	15	37	70	45	27	34	52	43	28	67	78	46	9	58	69	72	25	65	8	68	79	62	14	26	50	19	30	35	47	48	61	7	53	18	12	23	3	24	1	39	22	80	5	76	16	51	85	83	2	12	4	4	3	4	4	4	3	3	3	4	18	3	5	2	3	3	24865	2	4	5	5	5	3	3	3	4	5	5	5	3	48198	3	8	3	6	4	4	2	4	4	6	3	4	8	6	6	6	6	5	5	2	5	2	3	6	3	3	3	11	5	2	2	2	4	2	4	3	4	4	2	4	4	7	3	6	5	4	3	2	9	4	2	4	7	3	2	363		2021-02-20 11:53:36	T	F	88	88	0	0	1.18	15
34			"base"	"interview"	2021-02-19 17:10:55	1	T	"58"	"Deutsch"	2	4		4		4		4		4		4		4		4		4		4		3		4		4		4		3		4		4		3		6	4		4		1		3		1	1	4		4		1		4		4		4		1		3		4		7	"Essen"	4		3		4		4		2		4		4		4		3		4		4		7	"Hans rosendahl"	1		1		3		4		4	1		1		3		1		4		1		4		4		4		4	2		1	4		1	2		4		4		1	6		3		1		2		1		1		4		4	3	4		5	4	2		4		3	9	35	28	45	78	79	63	10	80	47	74	71	19	33	38	11	81	23	29	54	12	17	51	58	34	15	84	83	9	8	72	57	75	55	49	14	22	73	18	66	5	27	77	24	65	67	40	53	13	7	69	50	20	26	30	56	82	43	37	39	59	1	46	21	4	2	64	32	36	70	68	60	3	62	61	76	16	85	42	6	25	31	52	44	41	48	199	29	6	7	7	6	7	5	5	5	10	16	16	14	5	7	15	7	6	6	12	10	22	13	46	8	6	8	8	9	20	6	5	16	35	6	27	9	7	11	10	5	4	5	8	11	13	5	33	14	7	7	12	8	9	26	5	9	3	11	12	8	6	13	25	5	8	6	5	3	15	15	6	14	17	26	10	5	8	7	13	8	6	7	13	12	10	9	586		2021-02-19 17:30:15	T	F	88	88	0	0	0.52	0
37			"base"	"interview"	2021-02-19 17:25:58	1	T	"21"	"Deutsch"	1	1		2		4		4		2		4		1		4		2		2		1		4		2		3		2		6		2		4		5	2		4		1		2		1	1	4		1		2		2		4		1		4		7	"Durcheinander "	4		5		7	"Begriff nicht bekannt "	5		3		2		2		2		3		2		6		3		2		1		1		1		1		2		2	5		1		1		2		4		2		2		1		1		4	2		2	2		1	1		4		7	"Überraschung "	1	3		3		4		2		1		4		5		4	3	7	"Geschmack "	5	4	2		2		5	10	14	29	15	72	82	69	56	34	71	11	80	39	76	21	19	33	65	20	22	31	52	40	62	3	27	63	59	26	47	12	41	50	5	85	10	23	78	17	45	61	58	64	48	73	74	36	4	68	54	37	32	43	84	55	66	13	57	77	46	24	8	79	6	2	67	53	49	18	30	25	16	81	38	60	9	70	35	42	83	44	51	7	1	28	75	22	11	2	5	3	4	6	4	3	5	3	3	4	7	21	20	8	22	4	5	9	5	21	6	8	25	3	4	26	2	12	6	11	13	24	6	5	18	24	9	11	5	7	6	4	39	49	8	4	9	5	6	3	12	2	8	274	5	14	3	29	5	9	6	25	5	22	6	7	4	29	3	5	4	6	3	14	11	4	5	17	13	5	4	29	11	15	3	474		2021-02-19 17:45:32	T	F	88	88	0	0	0.72	4
38			"base"	"interview"	2021-02-19 17:30:09	1	T	"18"	"Deutsch"	1	4		1		4		4		1		4		4		4		4		4		1		4		1		4		1		4		2		4		2	2		4		1		4		1	1	1		2		2		4		2		1		1		3		3		3		7	"Keine Verbindung "	3		2		3		2		1		4		1		5		3		4		2		7	"Keine Verbindung "	1		3		1		2	1		1		1		1		1		5		1		1		1		1	2		1	2		3	1		4		4		1	6		3		4		2		1		1		5		4	3	4		5	4	2		4		3	11	39	79	77	45	20	34	65	19	49	46	2	27	40	70	61	56	72	82	43	1	53	35	59	57	63	69	16	12	8	14	83	50	28	47	37	71	52	54	31	32	11	3	51	76	74	58	78	33	75	55	44	42	41	22	15	81	68	30	24	67	26	64	13	18	84	73	23	48	5	4	21	17	29	38	85	7	25	80	6	9	36	10	60	62	66	242	17	6	14	3	5	4	14	3	11	12	4	2	4	3	4	5	6	6	3	6	7	5	8	15	5	5	3	16	9	8	5	5	3	5	7	19	14	5	6	27	4	7	4	4	4	18	4	3	25	5	6	5	7	5	3	3	5	2	12	27	4	10	3	8	7	11	4	3	6	7	3	4	8	4	3	3	4	13	5	15	5	4	5	6	4	3	1	500		2021-02-19 17:44:26	T	F	88	88	0	0	0.86	6
41			"base"	"interview"	2021-02-19 19:27:59	1	T	"21"	"Deutsch"	1							4		4		4		4						4		1										4													1			1													3																				4		1		4						2		7	"Unbekanntes"	3																							3			2												1	6						2								4					4						12	6	70	78	47	11	25	16	42	71	63	5	4	10	74	61	32	48	43	7	82	49	44	23	73	45	68	55	12	83	14	79	27	59	58	66	54	13	30	36	28	20	50	29	62	53	19	56	85	26	39	34	67	31	38	76	40	80	64	21	51	35	37	15	2	69	1	33	81	9	65	18	8	24	3	77	72	60	57	22	84	75	41	46	52	17	6	9				22	8	13	57			50	5					11							17		6							6										3	55	10			8	25	12												18		8							14	7		15	58				13				3					154		2021-02-19 19:35:38	F	F	75	84	0	0	0.52	4
42			"base"	"interview"	2021-02-19 21:06:55	1	T	"34"	"Türkisch"	1	1		1		4		4		1		1		1		4		4		4		2		4		4		4		1		1		2		4		2	2		4		3		4		2	1	2		2		1		4		2		2		1		3		4		3		3		3		2		2		2		4		4		4		3		4		2		2		2		1		4		3		2	1		1		1		2		1		2		2		3		1		1	2		1	2		2	2		4		4		1	6		3		7	"Ein Duft"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Ein Geschmack"	3	13	1	35	75	31	56	52	84	70	41	82	46	32	26	83	6	54	47	9	27	37	19	76	81	7	2	68	57	66	55	73	85	69	40	77	17	18	36	72	78	4	24	53	43	5	22	8	23	50	10	44	15	12	51	11	20	25	30	16	21	79	13	59	48	80	74	63	29	3	61	58	65	49	62	64	28	38	67	39	42	60	34	45	71	14	33	5	9	11	9	2	5	3	5	4	2	5	2	3	4	2	4	3	4	3	9	3	4	6	6	5	3	3	6	9	6	6	11	5	5	3	5	8	4	4	6	6	3	9	2	5	2	5	17	5	2	16	5	6	5	7	6	12	6	3	4	6	3	4	4	3	2	3	3	2	4	6	4	3	8	23	3	4	4	5	2	6	10	3	4	3	22	3	4	439		2021-02-19 21:14:54	T	F	88	88	0	0	1.06	11
