Buchtitel	Autor
1 - 2 - 3 so kann es gehen, eben waren es noch zehn!	Andrea Schomburg, Dorothee Mahnkopf
3 Monstergeschichten	Patricia Schröder
3 Piratengeschichten	Patricia Schröder
3-2-1 Schulstart!	Nikola Huppertz
Achtung Ziesel!	Helga Bansch
Agathe bleibt wach	Meike Haberstock
Agathe zählt die Sterne	Catherine Rayner
Ahmed	Barroux
Albert und der Baum	Jenni Desmond
Alfonso der Meisterdieb. 9 geniale Gaunereien und ein fataler Fehler	Thies Schwarz
Alle in den Garten!	Emma Lidia Squillari
Alles echt wahr! Oder rabenstarke Schwindeleien für alle Gelegenheiten	Nele Moost, Annet Rudolph
Alles erlaubt? Oder immer brav sein - das schafft keiner!	Nele Moost, Annet Rudolph
Alles lief gut	Franck Prévot
Allrebeste Freunde. Die Zwergenplage	Antje Bohnstedt
Am Nordpol ist alles wieder gut	Helga Bansch
Angry Birds. Ein Schwein kommt selten allein!	Rovio
Angry Birds. Wir sind die Angry Birds!	Rovio
Anna und der Meerschweinchenvampir	Christine Goppel
Antonia war schon mal da	Patrick Wirbeleit, Max Fiedler
Antons Albtraum	Ben Furman, Mathias Weber
Apfelsaft holen	Thomas Müller
Auf Bücherjagd mit Leseratte Otilie	Susanne Lütje
Auf ins Schlaraffenland	Pieter van Oudheusden, Benjamin Leroy
Baby an Bord	Allan Ahlberg, Emma Chichester Clark
Balduin sieht rot	Fritzi Bender, Sebastian Niemann
Bauer Benni fährt zum Strand	Ted van Lieshout, Philip Hopman
Bauer sucht Hahn	Kristina Andres
Bäumchen, verwandle dich!	Christie Matheson
Beeil dich, kleines Faultier!	Tomoko Ohmura
Bei 3 auf den Bäumen	Saskia Hula, Ulrike Möltgen
Ben der Schneemann	Guido van Genechten
Ben ist heute unsichtbar!	Vincent Cuvellier, Ronan Badel
Ben will heute einen Gips!	Vincent Cuvellier, Ronan Badel
Beste Freunde sind unschlagbar! Mutgeschichten	Christina Koenig
Beste Freunde und ein Regenbogen-Picknick	Andreas H. Schmachtl
Bibs	Hans Magnus Enzensberger, Rotraut Susanne Berner
Bis dann... und träum was Schönes	Edward van de Vendel, Marije Tolman
Björn. Abenteuer eines glücklichen Bären	Delphine Perret
Bloss nicht blinzeln!	Tom Booth
