"ID","Ideophone","BaseForm","BookTitle","Author","AgeRating","AgeGroup","OriginalLanguage","Year","Context","MeaningInContext","Source","WordType","WordCount","PageCount"
107,"(allez) hopp","hopp","Ich bin der kleine Mutiger","Günther Jakobs","1,2",1,"German","2016","Eine Kleinigkeit für mich! Ich bin Mutiger! Allez hopp!","Springgeräusch.","13_KM_07","",24,32
131,"(im) zickzack","zickzack","Achtung Ziesel!","Helga Bansch","1,2",1,"German","2017","""Sssssss!"" , soll dann die Gelse im Zickzack um das Ziesel schwirren.","Richtungsangabe?","16_AZ_11","Substantiv?",45,32
713,"ä-ä-ä-ä","äää","Die Böckchen-Bande im Schwimmbad","Björn F. Rörvik, Gry Moursund","bis 6",1,"Norwegian","2017","""Ä-ä-ä-ä"", meckerte das kleinste Böckchen.","Meckern?","130_BB_11","",20,48
223,"ääääää","äää","Lisa wartet auf den Bus","Sven Nordqvist","bis 6",1,"Swedish","2011","-0","Pfeifgeräusch von Grashalmen.","35_LB_03","",57,32
1246,"aaaaaaaaaah","ah","Oma Henni erzählt vom Nilpferd, das Schluckauf hatte","Christine Beigel, Hervé Le Goff","bis 6",1,"French","2015","machte das Nilpferd.","Geräusch beim weiten Öffnen des Mundes.","234_NS_09","",65,28
1240,"aaaaaaaah","ah","Oma Henni erzählt vom Nilpferd, das Schluckauf hatte","Christine Beigel, Hervé Le Goff","bis 6",1,"French","2015","schrie er zu Tode erschrocken: AAAAAAAAAH!","Schreckensschrei.","234_NS_05","",45,28
1478,"aaaaaaah","ah","Lena und die spukigen Gruselinos","Isabel Abedi, Joelle Tourlonias","bis 6",1,"German","2013","Jemand schreit. ""AAAAAAAH! HILFE!!!""","Angstschrei.","284_SG_08","",103,36
1807,"aaaaaaah","ah","Finger weg von diesem Buch","Andy Lee, Heath McKenzie","bis 6",1,"English","2017","AAAAAAH!!! Du hast wieder umgeblättert!","Wütender Schrei.","341_FW_04","",41,32
2326,"aaaaaaah","ah","Tiffi von Flausch. Kuddelmuddel mit Katze","Pip Jones, Ella Okstad","7-9",2,"English","2015","Das Tempo! … Aaaaaaah!","Angstschrei?","386_KM_15","",24,80
865,"aaaaaah","ah","Elsa und der Bär","Adrien Albert","bis 6",1,"French","2011","Aaaaaah! Ein Riese!","Angstschrei.","158_EB_03","",14,32
1241,"aaaaaah","ah","Oma Henni erzählt vom Nilpferd, das Schluckauf hatte","Christine Beigel, Hervé Le Goff","bis 6",1,"French","2015","Denn bei ""AAAAAAH!"" sperrt man WAAAAAEIT den Schnabel auf.","Schreckensschrei.","234_NS_06","",56,28
1811,"aaaaaah","ah","Finger weg von diesem Buch","Andy Lee, Heath McKenzie","bis 6",1,"English","2017","AAAAAAH!!! Ich wollte dich austricksen","Trauriger Schrei.","341_FW_07","",20,32
178,"aaaaaaiaaaaaaai","aiai","Prinzessin Pompeline traut sich","Brigitte Minne, Trui Chielens","bis 6",1,"Dutch","2017","-0","?","28_PP_04","",142,38
964,"aaaah","ah","Echte Helden hüpfen hoch","Alice Pantermüller, Christiane Hansen","bis 6",1,"German","2014","Friedemann wird enden wie Ludwig Lurch! Aaaah!","Angstschrei.","181_EH_09","",38,32
1088,"aaaah","ah","Heut schlafe ich bei Omama","Barbara Joosse, Jan Jutte","bis 6",1,"English","2013","Wir schauen, wie die Blitze zucken. ""Aaaah!""","Geräusch der Begeisterung, des Staunens.","199_HS_09","",29,40
1176,"aaaah","ah","Ben will heute einen Gips!","Vincent Cuvellier, Ronan Badel","bis 6",1,"French","2014","Aaaah, bluten! Am Kopf etwa?","Geräusch der Angst?","223_BG_04","",52,32
1407,"aaaah","ah","Valentin sucht ein Zuhause","Paloma und Ulises Wensell","bis 6",1,"German","1996","Aaaah! Hab ich gut geschlafen.","Zufriedener Ausruf.","272_VS_13","",5,22
2368,"aaaah","ah","Katzengeschichten","Marlene Jablonski","7-9",2,"German","2017","Aaaah! Eine Maus!","Angstschrei.","388_KG_12","",42,64
310,"aaaahhh","ah","Agathe bleibt wach","Meike Haberstock","bis 6",1,"German","2016","-0","Angstschrei.","49_BW_07","",131,32
1076,"aaaah-oooh-aah","ahohah","Der kultivierte Wolf","Becky Bloom, Pascal Biet","bis 6",1,"English","2008","sprang auf die Tiere zu und brüllte:","Brüllen des Wolfes.","198_KW_03","",54,32
1414,"aaaaooouuuiii","aoui","Dr. Brumm steckt fest","Daniel Napp","bis 6",1,"German","2005","AAAAOOOUUUIII! brüllt Dr. Brumm und taumelt in die Waschecke.","Schmerzensschrei.","273_DB_07","",10,32
